divi ; bh ; 19/12/2025 ; 12:00 ; 1 
divi ; bh ; 19/12/2025 ; 12:00 ; 2 
divi ; bh ; 19/12/2025 ; 12:00 ; 3 
divi ; bh ; 19/12/2025 ; 12:00 ; 4 
divi ; bh ; 19/12/2025 ; 12:00 ; 5 
divi ; bh ; 19/12/2025 ; 12:00 ; 6 
divi ; bh ; 19/12/2025 ; 12:00 ; 7 
divi ; bh ; 19/12/2025 ; 12:00 ; 8 
divi ; bh ; 19/12/2025 ; 12:00 ; 9 
divi ; bh ; 19/12/2025 ; 12:00 ; 10 
divi ; bh ; 19/12/2025 ; 12:00 ; 11
divi ; bh ; 19/12/2025 ; 12:00 ; 12
divi ; bh ; 19/12/2025 ; 12:00 ; 13
divi ; bh ; 19/12/2025 ; 12:00 ; 14
divi ; bh ; 19/12/2025 ; 12:00 ; 15
divi ; bh ; 19/12/2025 ; 12:00 ; 16
divi ; bh ; 19/12/2025 ; 12:00 ; 17
divi ; bh ; 19/12/2025 ; 12:00 ; 18
divi ; bh ; 19/12/2025 ; 12:00 ; 19
divi ; bh ; 19/12/2025 ; 12:00 ; 20
bh ;sp;25/12/2025;09:00; 15
